dataset,difficulty,history,model,initial_pass_rate,recovery_rate,avg_attempts_recovered,spearman_rho_iter_pass_mean_curve,linear_slope_per_iter_mean_curve,auc_trapz_mean_curve,first_stable_iter_mean_curve
human_eval,,0,claude,0.84,0.74,1.0,-0.80465085727548,-0.03813090909090908,4.864599999999999,
human_eval,,0,gpt-4,0.84,0.51,2.37,-0.9454545454545454,-0.03207999999999996,5.5888,
human_eval,,0,gpt-5.1,0.92,0.39,1.38,-0.8200476856407694,-0.031059090909090908,5.1842999999999995,
human_eval,,1,claude,0.84,0.73,1.03,-0.6759563566144126,-0.03299090909090908,5.3593,4.0
human_eval,,1,gpt-4,0.78,0.93,1.77,-0.8363636363636363,-0.029858181818181805,5.778249999999999,
human_eval,,1,gpt-5.1,0.92,0.4,1.37,-0.7,-0.029295454545454527,5.305200000000001,
apps,intro,0,claude,0.57,0.35,2.18,-0.9272727272727272,-0.03824363636363636,3.5058499999999997,
apps,intro,0,gpt-4,0.29,0.23,2.94,-0.9363636363636364,-0.013607272727272721,3.7103,
apps,intro,0,gpt-5.1,0.47,0.19,3.55,-0.7972685832618591,-0.022027272727272718,3.14375,
apps,intro,1,claude,0.57,0.22,2.96,-0.9181818181818182,-0.022429999999999995,3.6197000000000004,
apps,intro,1,gpt-4,0.29,0.27,3.24,-0.8454545454545455,-0.01346090909090908,3.24695,
apps,intro,1,gpt-5.1,0.47,0.2,2.94,-0.509090909090909,-0.016235454545454546,3.41665,
mbppplus,,0,claude,0.84,0.14,1.82,-0.7080927544024225,-0.04117363636363637,1.0962500000000002,
mbppplus,,0,gpt-4,0.82,0.45,2.7,-0.5849042845739995,-0.06638272727272729,2.97465,5.0
mbppplus,,0,gpt-5.1,,,,-0.8519384289712437,-0.049069999999999996,1.5267,
mbppplus,,1,claude,0.84,0.42,3.85,-0.7090909090909091,-0.04102363636363637,1.4295499999999999,
mbppplus,,1,gpt-4,0.77,0.27,2.53,-0.9090909090909091,-0.03985545454545453,1.1938,
mbppplus,,1,gpt-5.1,0.82,0.36,3.28,-0.9363636363636364,-0.044783636363636345,1.4677,
apps,competition,0,claude,0.4,0.33,1.98,-0.7545454545454545,-0.026777272727272716,3.6708,
apps,competition,0,gpt-4,0.1,0.09,2.52,-0.6272727272727273,-0.0034372727272727185,2.79765,
apps,competition,0,gpt-5.1,0.21,0.3,2.1,-0.42727272727272725,-0.00997727272727272,5.080400000000001,
apps,competition,1,claude,0.37,0.32,2.85,-0.9272727272727272,-0.02656545454545453,3.7565,
apps,competition,1,gpt-4,0.29,0.1,3.24,-0.9181818181818182,-0.010639090909090905,3.327,
apps,competition,1,gpt-5.1,0.23,0.31,2.94,-0.10909090909090909,-0.003363636363636348,4.05345,
human_eval_java,,0,claude,0.96,0.0,,-0.7818181818181819,-0.04360727272727273,1.192,
human_eval_java,,0,gpt-4,0.79,0.48,3.16,-0.7818181818181819,-0.04360727272727273,1.192,
human_eval_java,,0,gpt-5.1,0.93,0.88,2.12,-0.6605782590758164,-0.06231545454545456,2.38715,
human_eval_java,,1,claude,0.96,0.0,,-0.5,-0.043845454545454535,0.48229999999999995,2.0
human_eval_java,,1,gpt-4,0.78,0.43,4.66,-0.43636363636363634,-0.03464363636363636,1.07725,
human_eval_java,,1,gpt-5.1,0.93,0.75,2.64,-0.45128484204325836,-0.05996999999999998,1.6009,8.0
